"website","email","group_id","disable_auto_group_change","prefix","firstname","middlename","lastname","suffix","password_hash","taxvat","gender","reward_update_notification","reward_warning_notification","dob","billing_prefix","billing_firstname","billing_middlename","billing_lastname","billing_suffix","billing_street_full","billing_street1","billing_street2","billing_street3","billing_street4","billing_street5","billing_street6","billing_street7","billing_street8","billing_city","billing_region","billing_country","billing_postcode","billing_telephone","billing_company","billing_fax","shipping_prefix","shipping_firstname","shipping_middlename","shipping_lastname","shipping_suffix","shipping_street_full","shipping_street1","shipping_street2","shipping_street3","shipping_street4","shipping_street5","shipping_street6","shipping_street7","shipping_street8","shipping_city","shipping_region","shipping_country","shipping_postcode","shipping_telephone","shipping_company","shipping_fax","created_in","is_subscribed","group"
"base","tay@example.com","VIP Member","0","","Tay","","Ray","","ecc068bcc7d0ea6fed5f0697d7dff0433ed435232f388326e1be8e31625f29c2:lL","","Male","1","1","1980-01-01 00:00:00","","Tay","","Ray","","Canal Street","Canal Street","","","","","","","","Michigan","Michigan","US","49036","666-555-4423","","","","Tay","","Ray","","Canal Street","Canal Street","","","","","","","","Michigan","Michigan","US","49036","666-555-4423","","","admin","0","VIP Member"
"base","chuck@example.com","VIP Member","0","","Chuck","","Gain","","bfbb2ff384f7cda10e4051f3ed5dd8eb94c1f1f844bbcf4f524ff969c36663c9:Pa","","Male","1","1","1975-05-12 00:00:00","","Chuck","","Gain","","Administration of Zurich","Administration of Zurich","","","","","","","","Zurich","Zürich","CH","8090","344-555-2381","","","","Chuck","","Gain","","Administration of Zurich","Administration of Zurich","","","","","","","","Zurich","Zürich","CH","8090","344-555-2381","","","admin","0","VIP Member"
"base","day@example.com","VIP Member","0","","Day","","Canavan","","5f99f56b2c551e539d3f683d2e06146814362f942dfcd6846f3c604a3ad13c16:E5","","Male","1","1","1980-01-01 00:00:00","","Day","","Canavan","","Boston Harbour","Boston Harbour","","","","","","","","Bston","Massachusetts","US","02110","213-555-2346","","","","Day","","Canavan","","Boston Harbour","Boston Harbour","","","","","","","","Bston","Massachusetts","US","02110","213-555-2346","","","admin","0","VIP Member"
"base","rinky@example.com","VIP Member","0","","Rinky","","Patel","","052d41ce59417d20f158c059e55413f3966afd66a483324cd3a6c424a5e9ccfc:D4","","Female","1","1","1978-04-17 00:00:00","","Rinky","","Patel","","17th North Willow St","17th North Willow St","","","","","","","","Montclair","New Jersey","US","07042","763-555-6543","","","","Rinky","","Patel","","17th North Willow St","17th North Willow St","","","","","","","","Montclair","New Jersey","US","07042","763-555-6543","","","admin","0","VIP Member"
"base","andy@example.com","VIP Member","0","","Andy","","Ngyugen","","bb2442c8876d8a5bf05ccfb134560a83801e2f64794a85a390c3fe9b1ad5c40a:WL","","Male","1","1","1982-05-03 00:00:00","","Andy","","Ngyugen","","Beaver St","Beaver St","","","","","","","","Beaver","Virginia","US","25813","985-555-1267","","","","Andy","","Ngyugen","","Beaver St","Beaver St","","","","","","","","Beaver","Virginia","US","25813","985-555-1267","","","admin","0","VIP Member"
"base","john@example.com","General","0","","John","","Fernandiz","","83077784516dca33ca3a425e206e193a3264842e199ad67735327a60255a4b63:XE","","Male","1","1","1977-05-08 00:00:00","","John","","Fernandiz","","Logan Street","Logan Street","","","","","","","","Logan","Utah","US","84321","542-555-1267","","","","John","","Fernandiz","","Logan Street","Logan Street","","","","","","","","Logan","Utah","US","84321","542-555-1267","","","admin","0","General"
"base","donald@example.com","General","0","","Donald","","Hertz","","9dc186d96af6e34f4a95205c9aeddcffd09913df2313a5a5b9f396cf487380f5:55","","Male","1","1","1984-04-23 00:00:00","","Donald","","Hertz","","277 Orchard Road","277 Orchard Road","","","","","","","","Singapore","","SG","238858","204-555-1267","","","","Donald","","Hertz","","277 Orchard Road","277 Orchard Road","","","","","","","","Singapore","","SG","238858","204-555-1267","","","admin","0","General"
"base","linda@example.com","Wholesale","0","","Linda","","Wood","","ca721e35165defd094107b1f51a3cc56f8ee15164e4526aa37ea1dc15c3b30b0:aC2JakzLSBce9R6zCfNADDodEqdkRlXI","","Female","1","1","1989-05-05 00:00:00","","Linda","","Wood","","Penn Street","Penn Street","","","","","","","","Pittsburg","Pennsylvania","US","15201","764-555-2313","","","","Linda","","Wood","","Penn Street","Penn Street","","","","","","","","Pittsburg","Pennsylvania","US","15201","764-555-2313","","","admin","0","Wholesale"
"base","mack@example.com","Wholesale","0","","Mack","","Wigley","","e696bae0c7a9e075b50053f2a97e422074d7535cb066885a61f21b3abf64249f:ue","","Male","1","1","1970-07-13 00:00:00","","Mack","","Wigley","","Ader Main St","Ader Main St","","","","","","","","Ader","","JO","61142","763-555-0980","","","","Mack","","Wigley","","Ader Main St","Ader Main St","","","","","","","","Ader","","JO","61142","763-555-0980","","","admin","0","Wholesale"
"base","faith@example.com","General","0","","Faith","","Jaitely","","bcc03245fc42ac08870bebc5d285c8a331facdd3eb685a063675a7f6379c97f5:ic","","Female","1","1","1985-04-20 00:00:00","","Faith","","Jaitely","","Reno Center","Reno Center","","","","","","","","Reno","Nevada","US","89501","764-555-2300","","","","Faith","","Jaitely","","Reno Center","Reno Center","","","","","","","","Reno","Nevada","US","89501","764-555-2300","","","admin","0","General"
"base","david@example.com","General","0","","David","","Grutman","","28ab8ab1f2ad37a97039bffcfe39fc31cbe68445947b01173fe6e974d5aa02e0:sI","","Male","1","1","1973-06-08 00:00:00","","David","","Grutman","","Sydney Oak Road","Sydney Oak Road","","","","","","","","Sydney","","AU","2000","167-555-0295","","","","David","","Grutman","","Sydney Oak Road","Sydney Oak Road","","","","","","","","Sydney","","AU","2000","167-555-0295","","","admin","0","General"
"admin","prince@example.com","Private Sales Member","0","","Prince","","Charles","","811ae4797d34c397e2dbca4e0a6e65cf138aeac053a3c96d92f283279f88f167:Ip","","Male","1","1","1971-01-01 00:00:00","","Prince","","Charles","","Freeport Mall St","Freeport Mall St","","","","","","","","Freeport","Maine","US","04032","123-555-6913","","","","Prince","","Charles","","Freeport Mall St","Freeport Mall St","","","","","","","","Freeport","Maine","US","04032","123-555-6913","","","admin","0","Private Sales Member"
"admin","lilia@example.com","Private Sales Member","0","","Lilia","","Lotus","","c659a28e3c5eb35ba42459ac8023255c66d748b79e255adb117bc5c5203e25d4:kl","","Female","1","1","1970-08-10 00:00:00","","Lilia","","Lotus","","Stockholm County","Stockholm County","","","","","","","","Stockholm","","SE","10343","676-555-1591","","","","Lilia","","Lotus","","Stockholm County","Stockholm County","","","","","","","","Stockholm","","SE","10343","676-555-1591","","","admin","0","Private Sales Member"
"base","albert@example.com","General","0","","Albert","","Einstein","","b7ec461d676ff06618d76d639d153604c5ea71d1a4e76c9a6b00f0d587045b80:fT","","Male","1","1","1977-04-03 00:00:00","","Albert","","Einstein","","Cold Water St","Cold Water St","","","","","","","","Coldwater","Michigan","US","49036","674-555-9278","","","","Albert","","Einstein","","Cold Water St","Cold Water St","","","","","","","","Coldwater","Michigan","US","49036","674-555-9278","","","admin","0","General"
"base","shashi@example.com","General","0","","Shashi","","Palli","","0234298a91b1d8c0abd9eb98b0943be0268b59b19b1b41d1fc6804c6965ca99d:LK","","Male","1","1","1969-10-10 00:00:00","","Shashi","","Palli","","34th Street","34th Street","","","","","","","","New York","New York","US","10127","163-555-7501","","","","Shashi","","Palli","","34th Street","34th Street","","","","","","","","New York","New York","US","10127","163-555-7501","","","admin","0","General"
"base","gogi@example.com","General","0","","Gogi","","Cooper","","bb354edfa7fd9b0d2beefcce991bc088706cd3ff5ad77bd26ca1215469455ea2:WFeamQFR91RduDS6TX4QxHYq9VGpsQDb","","","1","1","","","Gogi","","Cooper","","30th St","30th St","","","","","","","","New York","New York","US","10450","123-555-0001","","","","Gogi","","Cooper","","30th St","30th St","","","","","","","","New York","New York","US","10450","123-555-0001","","","default","0","General"
"admin","pearl@example.com","Private Sales Member","0","","Pearl","","Glory","","bd3182e2569892a2446f9fc88d38af7b4f9c6429f31bb75b7b34f4ee1993024c:9C","","Female","1","1","1985-06-10 00:00:00","","Pearl","","Glory","","Great Church Road","Great Church Road","","","","","","","","Baltimore","Maryland","US","21201","529-555-5456","","","","Pearl","","Glory","","Great Church Road","Great Church Road","","","","","","","","Baltimore","Maryland","US","21201","529-555-5456","","","admin","0","Private Sales Member"
"admin","chang@example.com","Private Sales Member","0","","Chang","","yang","","abc26cea7daa55a0586b2a4b3d47ee962e50f4917f181758982fb538887ae140:Xz","","Male","1","1","1976-12-03 00:00:00","","Chang","","yang","","Washington Blvd","Washington Blvd","","","","","","","","Phoenix","Arizona","US","85001","444-555-3214","","","","Chang","","yang","","Washington Blvd","Washington Blvd","","","","","","","","Phoenix","Arizona","US","85001","444-555-3214","","","admin","0","Private Sales Member"
"admin","irvin@example.com","Private Sales Member","0","","Irvin","","Chipps","","523f952163ff7f3ce251f222ec2575bdd1ebd4b5e8130f54658a11968493531c:Re","","Male","1","1","1980-04-06 00:00:00","","Irvin","","Chips","","Canal St","Canal St","","","","","","","","Frick","Georgia","US","39859","123-555-8790","","","","Irvin","","Chips","","Canal St","Canal St","","","","","","","","Frick","Georgia","US","39859","123-555-8790","","","admin","0","Private Sales Member"
"admin","shan@example.com","Private Sales Member","0","","Shan","","Bugg","","ae26d7c1ecb7f432e83864c3a03f18efd461fa0c3c2cf6fa87effddcef329148:9C","","Female","1","1","1978-12-05 00:00:00","","Shan","","Bugg","","Foam Road","Foam Road","","","","","","","","Foam Lak","Illinois","US","60360","762-555-3471","","","","Shan","","Bugg","","Foam Road","Foam Road","","","","","","","","Foam Lak","Illinois","US","60360","762-555-3471","","","admin","0","Private Sales Member"
"admin","lorenzo@example.com","Private Sales Member","0","","Lorenzo","","Strecker","","13e02e7762471ce5524febd1cded166b6480a68cf2b07d9c861656351610495f:YJ","","Male","1","1","1981-09-10 00:00:00","","Lorenzo","","Strecker","","Woodland St","Woodland St","","","","","","","","Imielno","","PL","62262","623-555-3459","","","","Lorenzo","","Strecker","","Woodland St","Woodland St","","","","","","","","Imielno","","PL","62262","623-555-3459","","","admin","0","Private Sales Member"
"base","melvin@example.com","Wholesale","0","","Melvin","","Speck","","4b24414be523ab76b8b56b6e738bf87ea2ad0c8ed6a9d6a3017d36308d56848c:w6","","Male","1","1","1979-07-16 00:00:00","","Melvin","","Speck","","Cinder Dale Terrace","Cinder Dale Terrace","","","","","","","","Lestock","Montana","US","59572","452-555-3761","","","","Melvin","","Speck","","Cinder Dale Terrace","Cinder Dale Terrace","","","","","","","","Lestock","Montana","US","59572","452-555-3761","","","admin","0","Wholesale"
"base","kenda@example.com","General","0","","Kenda","","Tanaka","","d612ea71bcecfa816af69349dcf002323c7b630405fc4c2230324345f7343f30:AW","","Male","1","1","1988-12-06 00:00:00","","Kenda","","Tanaka","","Merry St","Merry St","","","","","","","","Merry Hell","Wisconsin","US","53167","651-555-5690","","","","Kenda","","Tanaka","","Merry St","Merry St","","","","","","","","Merry Hell","Wisconsin","US","53167","651-555-5690","","","admin","0","General"
"base","delena@example.com","General","0","","Delena","","Wesley","","b2fe6e32a4157db84c560179167a9c88fb31f1fc0240468824896404e83f5248:22","","Female","1","1","1975-04-01 00:00:00","","Delena","","Wesley","","Grove Crossing","Grove Crossing","","","","","","","","Noseville","Virginia","US","23860","138-555-4901","","","","Delena","","Wesley","","Grove Crossing","Grove Crossing","","","","","","","","Noseville","Virginia","US","23860","138-555-4901","","","admin","0","General"
"base","kip@example.com","General","0","","Kip","","Chee","","d27ed4358d41d7fdadd882b4b0dd9b129e1b1d802f140ccd64a1f7ed0a20b470:RejdvWZTh11QnHKO0jFHWbEnRlwCWSGf","","Male","1","1","1986-06-02 00:00:00","","Kip","","Chee","","Coffee Road","Coffee Road","","","","","","","","Coffeepot","Florida","US","33432","372-555-9567","","","","Kip","","Chee","","Coffee Road","Coffee Road","","","","","","","","Coffeepot","Florida","US","33432","372-555-9567","","","admin","0","General"
"base","tanja@example.com","Wholesale","0","","Tanja","","Melville","","2175ea6e0b3915ba35c3d10a67c0fd4653ee35dec9591fd3c28d9849b0b6a45a:LG","","Male","1","1","1989-03-01 00:00:00","","Tanja","","Melville","","Cotton Farm","Cotton Farm","","","","","","","","Red Wine","South Carolina","US","29742","124-555-6758","","","","Tanja","","Melville","","Cotton Farm","Cotton Farm","","","","","","","","Red Wine","South Carolina","US","29742","124-555-6758","","","admin","0","Wholesale"
"base","seema@example.com","Wholesale","0","","Seema","","Droz","","f3c02d44a3b8ea51a8fe7f40cb28f9763bff9e2cca6c5f7ddfae26ef7e407a47:ye","","Female","1","1","1983-02-17 00:00:00","","Seema","","Droz","","Canyon","Canyon","","","","","","","","Peru","Wisconsin","US","53027","174-555-0909","","","","Seema","","Droz","","Canyon","Canyon","","","","","","","","Peru","Wisconsin","US","53027","174-555-0909","","","admin","0","Wholesale"
"base","dong@example.com","Wholesale","0","","Dong","","Berg","","141f1be54e304cb51281d5b3686fd0c0e43d52cd9533dcb4bc9e7d6c98ea219f:GMTHwEojFws6tnJZRBkhqgGU9J5UD2eZ","","Male","1","1","1990-09-13 00:00:00","","Dong","","Berg","","Orchard","Orchard","","","","","","","","Wachapreague","Indiana","US","46879","187-555-0012","","","","Dong","","Berg","","Orchard","Orchard","","","","","","","","Wachapreague","Indiana","US","46879","187-555-0012","","","admin","0","Wholesale"
"admin","kinley@example.com","Private Sales Member","0","","Kinley","","Than","","db558912811ff8f8c86cb2f24dc95d61d599ea5af0163e8141a22c47df5eb370:7x","","Female","1","1","1976-10-10 00:00:00","","Kinley","","Than","","Rabbit Crossway","Rabbit Crossway","","","","","","","","Birdtown","Arkansas","US","72337","531-555-2768","","","","Kinley","","Than","","Rabbit Crossway","Rabbit Crossway","","","","","","","","Birdtown","Arkansas","US","72337","531-555-2768","","","admin","0","Private Sales Member"
"admin","percy@example.com","Private Sales Member","0","","Percy","","Pella","","148211d0b81e584d58ddd395fcd4f75c501095ba81418a78c57caf773ecc0019:Den4IDY6knYb8WK6suYRY8cgPA7UPrqZ","","Male","1","1","1978-03-08 00:00:00","","Percy","","Pella","","Canal St","Canal St","","","","","","","","Cabri","Nevada","US","89345","238-555-6578","","","","Percy","","Pella","","Canal St","Canal St","","","","","","","","Cabri","Nevada","US","89345","238-555-6578","","","admin","0","Private Sales Member"
"base","theo@example.com","General","0","","Theo","","Porras","","e5cb0857e7f697ad25513f9eae394fc3587fdd1567e2cfe4b9cbc66d4270dd3a:Ny","","Male","1","1","1980-05-05 00:00:00","","Theo","","Porras","","Thunder River Boulevard","Thunder River Boulevard","","","","","","","","Teramuggus","Alaska","US","99767","189-555-2780","","","","Theo","","Porras","","Thunder River Boulevard","Thunder River Boulevard","","","","","","","","Teramuggus","Alaska","US","99767","189-555-2780","","","admin","0","General"
"base","clay@example.com","General","0","","Clay","","Lock","","f8ecdf1259a416f11d76d5af05417470919dbf67a27636ebf38e37ea637e7542:wA","","Male","1","1","1984-10-14 00:00:00","","Clay","","Lock","","Bride Path","Bride Path","","","","","","","","Mantoloking","Ohio","US","44025","909-555-9078","","","","Clay","","Lock","","Bride Path","Bride Path","","","","","","","","Mantoloking","Ohio","US","44025","909-555-9078","","","admin","0","General"
"base","janesmith@example.com","VIP Member","0","","Jane","","Smith","","49e2849dd4a697130f4fc384c87ca4d4b7f71cdae3562bfdb2900745b4955d3f:idQD7Y85sveF3brqHzZqOJkZMWHhuGyn","","Female","1","1","1982-10-13 00:00:00","","Jane","","Smith","","Main Street","Main Street","","","","","","","","Los Angeles","California","US","93065","888-888-8888","","","","Jane","","Smith","","Main Street","Main Street","","","","","","","","Los Angeles","California","US","93065","888-888-8888","","","admin","0","VIP Member"
"base","jerry@example.com","VIP Member","0","","Jerry","","Luke","","a9ab299aa65bc8675ad62929bc77c949ccc3af6e571a8aaf3150b7934b2b7cb1:8l","","Male","1","1","1990-09-17 00:00:00","","Jerry","","Luke","","Airport Road","Airport Road","","","","","","","","Brussel","","BE","1000","184-555-2970","","","","Jerry","","Luke","","Airport Road","Airport Road","","","","","","","","Brussel","","BE","1000","184-555-2970","","","admin","0","VIP Member"
"base","erich@example.com","General","0","","Erich","","Forbes","","e90340226d2ba1d57fbadd2304c16be5:WfIVZO25n2qe64zl9VylQ7B0kkZP0wnq","","Male","1","1","1989-04-02 00:00:00","","Erich","","Forbes","","Steel Crossway","Steel Crossway","","","","","","","","Eclectic","Pennsylvania","US","17589","172-555-4859","","","","Erich","","Forbes","","Steel Crossway","Steel Crossway","","","","","","","","Eclectic","Pennsylvania","US","17589","172-555-4859","","","admin","0","General"
"admin","milo@example.com","Private Sales Member","0","","Milo","","Vitti","","a19a3f699e5cc547f7958a89e538ee515434b9cc83f793688d8cb2af3b3cf514:i1w812g9I6FJGzV1byntxbbCzS00PZzF","","Male","1","1","1990-06-02 00:00:00","","Milo","","Vitti","","Rome Street","Rome Street","","","","","","","","Rome","","IT","00199","792-555-1202","","","","Milo","","Vitti","","Rome Street","Rome Street","","","","","","","","Rome","","IT","00199","792-555-1202","","","admin","0","Private Sales Member"
"base","drew@example.com","VIP Member","0","","Drew","","France","","2350686c97788153d7b09cc73e6cd20155761a430030665c2aedad758e3553a4:fs6y1OSMqjnWQJ8jeJpdQV3xWajNbgbF","","Male","1","1","1985-02-08 00:00:00","","Drew","","France","","Lake view st","Lake view st","","","","","","","","Paris","Paris","FR","75008","907-555-3209","","","","Drew","","France","","Lake view st","Lake view st","","","","","","","","Paris","Paris","FR","75008","907-555-3209","","","admin","0","VIP Member"
"base","johnsmith@example.com","VIP Member","0","","John","","Smith","","f49424d7c554f8f583fa9b1927d9eab064b07c32bdc1c63a45572440461c9159:RHas3yzS6IQeDyUzCjaW9f74lnYOvan2","","Male","1","1","1981-04-15 00:00:00","","John","","Smith","","Coldwater Canyon Dr
Coldwater Canyon Dr","Coldwater Canyon Dr","Coldwater Canyon Dr","","","","","","","Beverly Hills","California","US","90210","424-555-0000","","","","John","","Smith","","Coldwater Canyon Dr
Coldwater Canyon Dr","Coldwater Canyon Dr","Coldwater Canyon Dr","","","","","","","Beverly Hills","California","US","90210","424-555-0000","","","default","0","VIP Member"
"base","johndoe@example.com","General","0","","John","","Doe","","60d0b6777081273c90d9dcf6342b18d511d539f5f119b56a364b2b0ff6dd29f1:O9hr8Lafe1STOCnJkp2ZHjFMrfM9plGn","","Male","1","1","","","John","","Doe","","10441 Jefferson Blvd, Suite 200","10441 Jefferson Blvd, Suite 200","","","","","","","","Culver City","California","US","90232","888-888-8888","","","","John","","Doe","","10441 Jefferson Blvd, Suite 200","10441 Jefferson Blvd, Suite 200","","","","","","","","Culver City","California","US","90232","888-888-8888","","","admin","0","General"
"base","janedoe@example.com","General","0","","Jane","","Doe","","80f8bdf79491b99b8180a4e746046ea5:8huK4jwUrBIwUTnw3LuWKT9MzAQghb5z","","","1","1","","","Jane","","Doe","","10441 Jefferson Blvd, Suite 200","10441 Jefferson Blvd, Suite 200","","","","","","","","Culver City","California","US","90232","888-888-8888","","","","Jane","","Doe","","10441 Jefferson Blvd, Suite 200","10441 Jefferson Blvd, Suite 200","","","","","","","","Culver City","California","US","90232","888-888-8888","","","admin","0","General"
"base","fabio.ger@gmail.com","General","0","","fabio","german","Rodriguez","","9ca4a46c21160e3502e25b9b6f6ea752:PX4L7pCLqeQlyqQebIb9uskfRjQpd9FZ","","","","","","","fabio","german","Rodriguez","","vcxz","vcxz","","","","","","","","vcx","Florida","US","343","432423","","","","fabio","german","Rodriguez","","vcxz","vcxz","","","","","","","","vcx","Florida","US","343","432423","","","default","0","General"
